Boat Type Main,Length,Width,Material,Boat Condition,Engine Type,Country,Price_Range_€,Price_Eur,N. views 7d grouped,N. views last 7d,Age Group,Year Built,F1
Motor Yacht,8,2,Plastic,Used boat,Unknown,Switzerland,lower_50K,14304,Best (>1000),3263,1991-2000,1992,1
Hardtop,11,4,GRP,Used boat,Unknown,Switzerland,lower_50K,33600,Best (>1000),2432,1976-1990,1979,2
Bowrider,12,3,GRP,Used boat,Unknown,Switzerland,50K-150K,120864,Best (>1000),2261,2001-2010,2002,3
Hardtop,20,5,GRP,Used boat,Unknown,Germany,300K-1M,949000,Best (>1000),2154,2001-2010,2009,4
Sport Boat,6,2,Plastic,Used boat,Unknown,Switzerland,lower_50K,19104,Best (>1000),2026,1991-2000,1993,5
Cabin Boat,7,2,GRP,Used boat,Unknown,Switzerland,lower_50K,46560,Best (>1000),1970,2011-2015,2014,6
Sport Boat,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,4799.04,Best (>1000),1917,1976-1990,1980,7
Sport Boat,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,34560,Best (>1000),1834,2001-2010,2005,8
Sport Boat,7,2,GRP,Used boat,Unknown,Switzerland,lower_50K,6240,Best (>1000),1831,1991-2000,1995,9
Cabin Boat,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,3648,Best (>1000),1804,1976-1990,1980,10
Hardtop,13,4,GRP,Used boat,Unknown,Switzerland,300K-1M,336000,Best (>1000),1780,2016-2020,2016,11
Sport Boat,9,3,GRP,new boat from stock,Unknown,Switzerland,150K-300K,159359,Best (>1000),1710,Unknown,2020,12
Hardtop,3,10,GRP,Display Model,Unknown,Germany,150K-300K,209000,Best (>1000),1700,2016-2020,2019,13
Motor Yacht,11,4,Steel,Used boat,Unknown,Germany,50K-150K,139000,Best (>1000),1621,2001-2010,2006,14
Hardtop,14,4,GRP,Used boat,Unknown,Croatia,300K-1M,339000,Best (>1000),1461,2011-2015,2010,15
Cabin Boat,12,3,Steel,Used boat,Unknown,Switzerland,50K-150K,62400,Best (>1000),1449,1976-1990,1977,16
Fishing Boat,6,2,GRP,new boat on order,Unknown,Switzerland,lower_50K,25728,Best (>1000),1430,Unknown,2020,17
Cabin Boat,12,4,Plastic,Used boat,Unknown,Switzerland,50K-150K,114240,Best (>1000),1414,2001-2010,2009,18
Cabin Boat,10,3,GRP,Used boat,Unknown,Switzerland,50K-150K,52800,Best (>1000),1386,1991-2000,1990,19
Sport Boat,7,3,GRP,Used boat,Unknown,Germany,lower_50K,37000,Best (>1000),1351,2001-2010,2007,20
Motor Yacht,10,3,GRP,Used boat,Unknown,Switzerland,50K-150K,91200,Best (>1000),1319,1991-2000,1994,21
Cabin Boat,7,3,GRP,Used boat,Unknown,Switzerland,lower_50K,4800,Best (>1000),1299,1900-1975,1974,22
Pilothouse,6,2,GRP,new boat from stock,Unknown,Switzerland,lower_50K,37625,Best (>1000),1272,Unknown,2020,23
Cabin Boat,10,2,Wood,Used boat,Unknown,Switzerland,50K-150K,57600,Best (>1000),1236,1900-1975,1936,24
Cabin Boat,15,4,Plastic,Used boat,Unknown,Croatia,150K-300K,199999,Best (>1000),1230,2001-2010,2004,25
Sport Boat,4,2,Plastic,Used boat,Unknown,Switzerland,lower_50K,6912,Best (>1000),1201,1976-1990,1987,26
Hardtop,12,4,GRP,Used boat,Unknown,Germany,150K-300K,220000,Best (>1000),1153,2011-2015,2010,27
Cabin Boat,8,3,Plastic,Used boat,Unknown,Switzerland,lower_50K,26880,Best (>1000),1136,1991-2000,1996,28
Cabin Boat,9,3,GRP,Used boat,Unknown,Austria,lower_50K,37500,Best (>1000),1128,1976-1990,1989,29
Motor Yacht,20,5,Carbon Fiber,Used boat,Unknown,Thailand,50K-150K,65000,Best (>1000),1119,2001-2010,2001,30
Wakeboard/Wakesurf,6,2,Unknown,Used boat,Unknown,Switzerland,50K-150K,54624,Best (>1000),1119,2001-2010,2005,31
Sport Boat,6,2,Unknown,Used boat,Unknown,Switzerland,lower_50K,4704,Best (>1000),1116,1976-1990,1987,32
Motor Yacht,16,5,GRP,Used boat,Unknown,Switzerland,150K-300K,283200,Best (>1000),1107,2001-2010,2006,33
