Year Built,Price_Eur,Length,Width,N. views last 7d
1992,14304.0,7.7,2.46,3263
1979,33600.0,11.12,3.88,2432
2002,120864.0,12.35,3.48,2261
2009,949000.0,20.3,5.2,2154
1993,19104.0,6.14,2.34,2026
2014,46560.0,6.65,2.3,1970
1980,4799.04,6.0,2.1,1917
2005,34560.0,6.4,2.31,1834
1995,6240.0,6.8,2.38,1831
1980,3648.0,6.2,2.45,1804
2016,336000.0,13.15,3.96,1780
2020,159359.0,9.31,2.99,1710
2019,209000.0,3.35,9.95,1700
2006,139000.0,10.7,3.65,1621
2010,339000.0,13.86,3.98,1461
1977,62400.0,11.7,3.25,1449
2020,25728.0,6.28,2.24,1430
2009,114240.0,12.0,3.6,1414
1990,52800.0,10.04,3.42,1386
2007,37000.0,7.25,2.57,1351
1994,91200.0,9.9,3.45,1319
1974,4800.0,7.2,2.7,1299
2020,37625.0,6.19,2.46,1272
1936,57600.0,10.2,2.2,1236
2004,199999.0,14.76,4.2,1230
1987,6912.0,3.95,1.55,1201
2010,220000.0,11.7,3.66,1153
1996,26880.0,8.05,2.59,1136
1989,37500.0,9.37,3.3,1128
2001,65000.0,20.0,5.0,1119
2005,54624.0,6.32,2.36,1119
1987,4704.0,6.3,2.44,1116
2006,283200.0,15.79,4.5,1107
1978,12000.0,7.2,2.95,1101
1994,10464.0,5.51,2.21,1057
1983,56640.0,9.3,3.2,1054
1996,7679.04,5.5,2.0,1049
1989,31680.0,8.5,2.55,1033
1998,18720.0,5.9,2.32,1028
1980,17280.0,9.7,2.7,1019
2012,66240.0,7.01,2.54,1019
2012,46000.0,7.6,2.6,1019
2005,48000.0,6.85,2.46,1017
2015,89900.0,9.02,2.98,1014
2020,31000000.0,54.4,9.6,1009
1975,5040.0,4.38,1.7,997
2006,100000.0,13.4,4.28,991
2000,17280.0,6.4,2.34,990
2010,5900000.0,41.1,8.4,986
2002,28320.0,6.3,2.25,973
1996,6154500.0,14.95,4.3,961
2007,56640.0,6.06,2.2,920
2006,55680.0,9.3,2.98,917
1984,75840.0,5.9,2.12,917
2004,36480.0,6.94,2.27,915
2014,912000.0,15.85,4.7,912
2019,124608.0,7.5,2.59,908
1940,10000.0,12.5,2.5,900
2020,100800.0,7.16,2.59,899
1992,24864.0,8.6,2.8,896
1972,58000.0,11.31,3.6,892
2020,24000.0,6.6,1.85,888
1995,14352.0,6.14,2.47,888
2012,34464.0,8.2,2.36,885
1995,32544.0,7.01,2.59,885
2009,47040.0,6.6,2.54,883
2011,33552.0,6.25,2.41,879
1967,74880.0,5.7,2.2,875
2020,8894.4,4.8,1.9,873
2010,80000.0,10.0,3.0,870
1998,36960.0,7.5,2.59,870
2016,1020000.0,19.5,5.1,869
2004,220000.0,14.76,4.2,869
1901,89000.0,11.0,3.0,868
2015,23520.0,6.19,2.48,867
1989,17280.0,7.8,2.85,866
1980,6720.0,7.26,2.9,866
1992,22080.0,7.0,2.43,863
2016,61248.0,6.75,2.5,860
2019,45553.0,5.95,2.3,859
2006,29900.0,6.96,2.55,851
1974,3648.0,5.4,1.67,849
1996,86000.0,10.0,3.3,832
1988,15360.0,9.75,2.84,829
1995,12500.0,7.0,2.4,826
2017,91200.0,7.01,2.59,826
2009,29999.0,6.7,2.44,811
1985,47904.0,10.8,2.6,810
1998,171840.0,10.1,3.45,806
2011,95000.0,8.25,2.56,801
1996,32832.0,9.1,2.5,799
2011,34560.0,8.0,2.5,799
1988,12000.0,8.0,2.8,792
2007,82560.0,7.7,2.32,790
2019,120864.0,7.0,2.5,785
1991,10000.0,7.15,2.36,783
1963,7680.0,5.6,2.1,781
2017,130560.0,7.7,2.59,780
1996,19500.0,8.95,2.59,778
2013,27840.0,5.75,2.34,773
1997,24000.0,7.85,2.54,771
1992,13920.0,6.77,2.28,760
1958,11040.0,4.6,1.84,746
1994,25000.0,9.9,3.5,746
2015,65000.0,9.31,2.99,744
1993,187200.0,14.85,4.38,744
1991,900000.0,30.0,6.2,743
2016,1499000.0,19.65,4.8,742
2011,143040.0,10.85,3.73,742
1998,8500.0,7.9,2.5,738
2015,85440.0,6.93,2.59,728
1985,13440.0,7.45,2.72,713
2012,61248.0,6.1,2.59,712
2016,91680.0,7.67,2.55,711
1998,18240.0,6.07,2.47,709
2008,54240.0,7.47,2.59,708
1985,14400.0,6.9,2.55,708
1990,33600.0,9.42,3.3,706
1999,43000.0,10.2,3.41,704
1995,9900.0,6.25,2.29,700
2018,4219500.0,26.9,6.3,695
2007,56640.0,7.49,2.59,691
2019,273600.0,7.52,2.56,690
2015,42240.0,6.9,2.42,686
1990,18144.0,6.5,2.45,686
1993,65000.0,12.8,4.0,685
2004,24864.0,5.62,2.08,684
2020,38000.0,11.8,3.25,683
1976,7400.0,7.0,2.2,683
1996,14304.0,6.06,2.5,682
1996,28608.0,7.0,2.43,678
1995,30000.0,8.13,2.5,677
2003,60000.0,23.9,6.1,677
1930,9800.0,9.8,2.55,673
2007,59520.0,8.13,2.59,672
2013,66240.0,8.57,2.68,665
1991,19200.0,7.14,2.53,665
2005,40000.0,7.8,3.0,665
2001,118080.0,8.4,2.65,662
1990,59520.0,9.39,3.4,660
2015,19104.0,5.53,2.18,655
1991,22080.0,7.5,2.28,655
1990,27744.0,8.1,2.45,654
2010,62800.0,7.5,2.59,652
1990,19999.0,10.0,2.5,651
1984,28692.48,9.0,3.28,651
2003,182400.0,12.26,3.41,646
1990,27000.0,8.15,2.7,642
1994,3840.0,5.6,1.58,641
1978,12350.0,7.7,2.66,640
1981,40000.0,15.5,4.7,636
1976,9120.0,6.54,2.5,635
1989,79680.0,12.4,3.15,633
1973,21000.0,10.3,3.35,631
2010,65280.0,7.87,2.9,631
2012,33600.0,7.51,2.83,630
1986,19104.0,7.8,2.59,628
1995,12960.0,6.35,2.35,628
1973,7680.0,6.45,2.37,628
2019,316320.0,10.31,3.5,622
1980,14400.0,6.5,2.5,622
2005,29800.0,6.26,2.3,622
2013,43000.0,6.7,2.5,621
1991,14800.0,7.19,2.44,621
2019,228975.0,8.67,2.49,620
1992,8736.0,6.2,2.4,620
2000,40320.0,9.0,2.93,620
1969,9120.0,7.43,2.5,619
1989,25440.0,7.67,2.43,619
2005,69120.0,8.61,2.9,617
1979,8160.0,6.07,2.4,613
2001,339000.0,21.81,5.2,612
1994,38304.0,9.55,3.32,612
1960,24000.0,4.5,2.0,611
1995,24960.0,7.5,2.5,607
1996,24900.0,8.9,2.9,605
2019,177600.0,6.8,2.5,605
1990,23904.0,7.85,2.26,605
1986,14304.0,6.7,2.5,604
2019,288000.0,9.99,2.92,603
2018,5959500.0,30.21,7.04,603
1992,12000.0,5.2,2.2,599
2012,79200.0,6.78,2.54,599
1999,59500.0,8.25,2.59,598
2017,150000.0,7.47,2.49,598
1998,6950000.0,47.0,9.0,597
2007,65760.0,10.0,2.6,597
2006,33000.0,6.1,2.5,596
1967,27840.0,5.1,2.0,595
1982,7680.0,5.69,2.24,594
1978,21120.0,8.12,2.75,593
1985,16320.0,3.0,8.0,589
1989,17280.0,8.6,2.3,586
2011,32000.0,7.5,2.5,586
1993,10000.0,8.5,2.6,585
2005,40800.0,6.96,2.55,585
1995,17664.0,7.07,2.59,583
2009,98000.0,8.52,3.0,582
1983,59520.0,6.86,2.35,581
1990,28800.0,6.77,2.28,581
2000,29500.0,8.6,2.59,578
2014,52800.0,6.1,2.59,578
1967,278400.0,18.5,4.95,578
1962,99000.0,6.0,2.16,577
1991,31680.0,10.3,3.3,576
2000,46560.0,7.66,2.61,575
2000,6720.0,4.15,1.65,574
1996,114240.0,6.65,2.2,573
2020,331200.0,10.9,3.5,571
1973,43200.0,5.6,2.1,567
1979,47500.0,5.8,2.05,566
1980,9504.0,6.9,2.45,565
2007,165000.0,16.0,4.2,565
2009,57600.0,6.86,2.25,562
1985,7200.0,6.5,2.45,561
2004,86400.0,6.5,2.2,555
2020,776179.0,13.9,3.8,554
1984,29500.0,10.05,3.03,550
2014,27360.0,6.15,2.2,549
2006,596792.54,6.5,2.5,548
1969,43200.0,5.7,2.16,546
1980,5664.0,5.85,2.23,543
2008,19190.4,4.67,2.16,540
1989,14400.0,6.06,1.93,540
1992,26400.0,7.85,2.54,540
2008,79000.0,9.6,2.98,539
2019,115000.0,10.0,3.5,539
1990,13920.0,6.6,2.35,538
1989,21120.0,8.5,3.0,537
2004,60000.0,8.72,2.89,535
2002,46800.0,9.1,2.83,535
2020,6264073.95,28.06,6.55,535
2005,33120.0,6.5,2.42,535
1970,89000.0,6.55,2.33,534
2019,18240.0,4.2,1.73,534
1963,57120.0,6.4,2.22,531
1976,4095540.0,12.2,4.25,530
2020,138500.0,9.02,3.12,529
2015,36288.0,6.05,2.38,529
2020,12672.0,5.5,2.1,528
1992,9599.04,5.9,2.32,528
1997,24900.0,8.45,2.56,527
1989,15900.0,10.3,3.25,527
2008,374400.0,9.92,2.8,527
2001,21120.0,6.01,2.3,527
1994,56640.0,11.72,4.1,526
1980,13300.0,7.4,2.8,525
2002,288000.0,15.3,4.4,525
2019,129000.0,12.0,4.35,525
1999,225000.0,17.5,5.0,524
1990,14990.0,7.19,2.49,523
2020,33984.0,5.6,1.7,522
1971,29500.0,5.8,2.02,520
2021,318743.04,10.34,3.2,520
1991,39900.0,9.0,3.05,518
1969,41280.0,6.1,2.16,517
2017,100800.0,8.0,2.6,517
2004,29000.0,7.34,2.57,516
2007,49950.0,7.26,2.59,513
1995,43200.0,8.53,3.2,513
1996,12950.0,5.97,2.29,512
2020,3816.0,4.01,1.5,512
1983,28704.0,5.7,2.2,511
1992,24900.0,8.94,3.06,508
2017,302400.0,10.5,3.2,508
2008,41500.0,6.4,2.59,507
1988,24000.0,8.66,3.04,507
1986,9504.0,5.15,2.1,507
2013,139000.0,9.99,3.47,506
2001,35000.0,10.0,3.0,503
2006,46560.0,6.0,2.45,503
2019,10080.0,3.38,1.36,503
1999,31000.0,8.89,3.15,502
2006,35000.0,8.5,2.5,501
2012,139500.0,11.7,3.6,499
1997,8500.0,6.7,2.3,498
1973,9580.8,6.5,2.5,495
1992,22944.0,5.8,2.34,494
2013,56640.0,6.99,2.52,493
2003,42300.0,8.2,2.57,491
1995,7500.0,5.8,2.28,490
1994,24000.0,7.85,2.54,489
1981,6528.0,5.75,2.27,489
2003,33600.0,7.26,2.54,488
2003,28500.0,6.7,2.54,487
1999,46080.0,8.15,2.59,486
2002,36480.0,7.16,2.59,486
2006,24950.4,7.3,2.75,485
2006,88800.0,9.0,3.05,485
2001,24480.0,5.78,2.5,483
2017,235000.0,13.29,3.97,482
2017,364320.0,11.37,3.43,481
2002,50000.0,9.79,3.26,479
2001,58000.0,8.25,2.6,478
2001,115000.0,11.7,3.86,478
1971,50000.0,38.7,9.5,477
2020,117024.0,7.22,2.5,476
2000,115000.0,11.85,2.34,476
1993,15264.0,6.4,2.15,476
1938,47040.0,13.0,3.0,475
1988,36000.0,12.2,3.4,475
1977,18912.0,7.25,2.53,475
1978,9500.0,8.5,2.9,475
1999,3456.0,6.2,2.38,474
2020,191520.0,9.85,2.98,474
2006,75000.0,10.95,3.95,472
2003,91200.0,9.5,3.2,471
2003,148800.0,11.74,3.78,471
1998,225000.0,14.3,4.45,471
2006,156000.0,12.0,4.0,469
1999,19190.4,6.09,2.54,468
1985,6624.0,5.55,1.6,467
1991,39000.0,9.3,3.2,467
2001,129120.0,10.0,3.45,467
2006,21120.0,6.5,2.43,466
2014,78720.0,7.74,2.81,466
2011,10080.0,4.5,1.95,465
1999,125000.0,12.53,3.73,464
2021,550000.0,18.0,8.0,464
2020,7828.799999999999,4.45,1.85,462
1993,40320.0,8.5,2.75,462
1986,76704.0,5.9,2.18,462
2006,39500.0,9.2,2.9,461
1985,69120.0,10.7,3.68,460
1995,21600.0,5.1,2.3,460
1982,8544.0,5.45,2.12,460
1926,9850.0,24.0,4.0,459
2020,417417.0,11.99,3.45,459
2004,21984.0,5.5,2.05,457
1989,28320.0,9.1,3.0,457
1994,40000.0,12.0,3.49,457
2003,92160.0,8.42,2.62,457
1988,16500.0,8.6,2.5,456
2000,76800.0,8.4,2.6,455
2003,27800.0,6.9,2.5,455
1990,15900.0,7.9,2.83,455
1994,1500000.0,38.5,7.3,454
1994,12500.0,5.6,2.2,452
1989,18720.0,4.95,2.0,451
1991,16800.0,8.6,3.0,451
2019,176000.0,9.23,2.98,449
1962,84480.0,5.51,1.91,448
1994,6624.0,5.0,2.16,448
1991,33600.0,7.6,2.75,448
1990,5900.0,5.75,2.41,447
2017,53900.0,6.64,2.55,445
1912,45000.0,15.0,3.5,444
2014,66240.0,8.3,2.94,444
1990,12000.0,6.43,2.25,442
2000,37920.0,7.73,2.58,441
1948,36500.0,10.78,3.91,440
2006,139000.0,12.95,4.28,439
1979,9504.0,7.45,2.44,439
1972,11520.0,6.2,2.42,437
1991,13440.0,7.2,2.4,436
1999,99000.0,12.01,3.83,436
1984,14208.0,7.05,2.5,436
1991,57500.0,9.9,3.6,436
2016,88000.0,8.3,2.96,435
2020,13920.0,5.7,2.1,434
2019,75648.0,6.22,2.55,434
1950,15000.0,6.8,2.13,434
2005,254000.0,12.5,3.9,434
2004,75000.0,9.6,3.3,434
2020,152265.0,7.85,2.49,433
1979,9990.0,7.6,2.8,433
2019,110000.0,8.7,2.7,433
2017,67104.0,6.95,2.55,432
1994,16500.0,7.45,2.45,432
2020,126900.0,9.5,2.95,431
2020,1285000.0,18.4,4.6,431
2019,149111.0,11.4,3.5,431
1988,24768.0,8.3,3.06,430
2020,572200.0,12.5,4.0,429
1999,19104.0,6.15,2.5,429
2020,112320.0,8.08,3.12,429
1978,40000.0,11.97,3.27,427
2000,36384.0,5.6,2.2,427
2020,389500.0,10.17,2.98,425
1981,20500.0,9.1,3.14,424
1972,3744.0,5.05,1.9,423
