Length,Width,Price_Eur,N. views last 7d,Year Built,clusters,cluster,F1
-1.395388825,5.278526041791321,-0.101256746,9.993213971843911,0.8584933042005933,4,Black,13
-0.169830714,0.080140812,-0.127391344,9.483759032371625,0.06523413,4,Black,14
-0.906833006,-1.083307311,-0.169681602,8.252038862255084,0.9195132406798204,4,Black,17
0.046934667,0.038883786,-0.136635524,8.148858115020191,0.24829393940832303,4,Black,18
-0.27988083,-0.109641506,-0.159574233,7.968291807359128,-0.911084854,4,Black,19
-0.745092684,-0.811010942,-0.165473185,7.742583922782798,0.12625406644986897,4,Black,20
-0.303224794,-0.08488729,-0.14523754,7.536222428313011,-0.667005108,4,Black,21
-0.753429814,-0.703742675,-0.1774951,7.407246494269395,-1.887403837,4,Black,22
-0.92183984,-0.901776398,-0.165239841,7.233128983310512,0.9195132406798204,4,Black,23
-0.253202014,-1.116312931,-0.157782147,7.000972302032002,-4.206161424,4,Black,24
0.5071442430256489,0.5339680940556839,-0.104617282,6.962279521818917,-0.056805743,4,Black,25
-1.295343264,-1.652654264,-0.176706582,6.775264417455673,-1.094144663,4,Black,26
-0.003088113,0.088392217,-0.097149881,6.465722175750992,0.30931387588755005,4,Black,27
-0.611698604,-0.794508131,-0.169251501,6.356092631813918,-0.544965235,4,Black,28
-0.391598372,-0.208658367,-0.16528651,6.304502258196472,-0.97210479,4,Black,29
1.3808754677300321,1.1940805041754246,-0.155019346,6.246463087876844,-0.239865552,4,Black,30
-0.900163302,-0.984290449,-0.15889324,6.246463087876844,0.004214193,4,Black,31
-0.903498154,-0.918279208,-0.177530942,6.227116697770301,-1.094144663,4,Black,32
0.6788891211641057,0.7815102478505865,-0.073554073,6.169077527450674,0.06523413,4,Black,33
-0.753429814,-0.497457547,-0.17480697,6.1303847472375885,-1.643324091,4,Black,34
-1.035224808,-1.108061526,-0.175380438,5.846637692341631,-0.667005108,4,Black,35
-0.403270354,-0.291172419,-0.158140564,5.827291302235089,-1.338224409,4,Black,36
-1.036892234,-1.281341034,-0.176420206,5.795047318724185,-0.544965235,4,Black,37
